Profession,Condition,Category,Observed,Expected,Standardized residual,Abs standardized residual
Firefighter,Spanish_limited,N,0.0,1.2681159420289856,-1.126106541153627,1.126106541153627
Firefighter,French_standard,M,235.0,236.768115942029,-0.1149076997125841,0.1149076997125841
Firefighter,French_standard,N,3.0,1.2318840579710144,1.5930368517119091,1.5930368517119091
Firefighter,French_limited,M,238.0,236.768115942029,0.08005864324237272,0.08005864324237272
Firefighter,French_limited,N,0.0,1.2318840579710144,-1.1099027245533792,1.1099027245533792
Flight attendant,Spanish_standard,M,15.0,4.280575539568345,5.181081040637405,5.181081040637405
Flight attendant,Spanish_standard,F,230.0,240.2158273381295,-0.6591325132060886,0.6591325132060886
Flight attendant,Spanish_standard,N,0.0,0.5035971223021583,-0.7096457724119536,0.7096457724119536
Flight attendant,Spanish_limited,M,0.0,4.280575539568345,-2.068955180657219,2.068955180657219
Flight attendant,Spanish_limited,F,245.0,240.2158273381295,0.3086782544239791,0.3086782544239791
Flight attendant,Spanish_limited,N,0.0,0.5035971223021583,-0.7096457724119536,0.7096457724119536
Flight attendant,French_standard,M,2.0,4.175745118191162,-1.0647337650572735,1.0647337650572735
Flight attendant,French_standard,F,235.0,234.33299075025693,0.04357276690371496,0.04357276690371496
Flight attendant,French_standard,N,2.0,0.49126413155190135,2.152562088716105,2.152562088716105
Flight attendant,French_limited,M,0.0,4.263103802672148,-2.0647285058021914,2.0647285058021914
Flight attendant,French_limited,F,244.0,239.23535457348407,0.3080476546756292,0.3080476546756292
Flight attendant,French_limited,N,0.0,0.5015416238437821,-0.7081960348969641,0.7081960348969641
Lawyer,Spanish_standard,M,244.0,244.75,-0.04794020790754448,0.04794020790754448
Lawyer,Spanish_standard,N,1.0,0.25,1.5,1.5
Lawyer,Spanish_limited,M,245.0,244.75,0.01598006930251483,0.01598006930251483
Lawyer,Spanish_limited,N,0.0,0.25,-0.5,0.5
Lawyer,French_standard,M,245.0,244.75,0.01598006930251483,0.01598006930251483
Lawyer,French_standard,N,0.0,0.25,-0.5,0.5
Lawyer,French_limited,M,245.0,244.75,0.01598006930251483,0.01598006930251483
Lawyer,French_limited,N,0.0,0.25,-0.5,0.5
Metal worker,Spanish_standard,M,240.0,238.08235294117648,0.12428109633875027,0.12428109633875027
Metal worker,Spanish_standard,F,5.0,1.4411764705882353,2.9644755431776524,2.9644755431776524
Metal worker,Spanish_standard,N,0.0,5.476470588235294,-2.340186015733641,2.340186015733641
Metal worker,Spanish_limited,M,245.0,238.08235294117648,0.4483268996759843,0.4483268996759843
Metal worker,Spanish_limited,F,0.0,1.4411764705882353,-1.2004900959975617,1.2004900959975617
Metal worker,Spanish_limited,N,0.0,5.476470588235294,-2.340186015733641,2.340186015733641
