STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC31,Science and engineering associate professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,109.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC31,Science and engineering associate professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,354.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC31,Science and engineering associate professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,463.9,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC32,Health associate professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,167.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC32,Health associate professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,82.0,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC32,Health associate professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,249.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC33,Business and administration associate professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,508.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC33,Business and administration associate professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,576.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC33,Business and administration associate professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,1084.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC34,"Legal, social, cultural and related associate professionals",Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,153.7,,d,definition differs (see metadata),,
