Language,Prompt Variant,Profession,M,F,N,U,Total,effective_n,U_count,total_count,U_rate,p_M_raw,p_F_raw,p_N_raw,theta_raw,zero_variance_raw,smoothing_alpha,p_M_smooth,p_F_smooth,p_N_smooth,theta_smooth,variance_smooth,SE_smooth,CI_lower_95_smooth,CI_upper_95_smooth,Z_smooth,p_value_wald_smooth,alpha_bonferroni,significant_wald_bonferroni,gendered_n_raw,p_value_exact_gendered_raw,significant_exact_bonferroni,note
French,standard,Lawyer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,standard,Metal worker,190,0,10,45,245,200,45,245,0.183673,0.950000,0.000000,0.050000,0.950000,FALSE,0.000000,0.950000,0.000000,0.050000,0.950000,0.047500,0.015411,0.919795,0.980205,61.644140,0.000000,0.000568,TRUE,190,0.000000,TRUE,No smoothing used.
French,standard,Nurse,0,226,16,3,245,242,3,245,0.012245,0.000000,0.933884,0.066116,-0.933884,FALSE,0.000000,0.000000,0.933884,0.066116,-0.933884,0.061744,0.015973,-0.965191,-0.902577,-58.465802,0.000000,0.000568,TRUE,226,0.000000,TRUE,No smoothing used.
French,standard,Personal care worker,108,0,130,7,245,238,7,245,0.028571,0.453782,0.000000,0.546218,0.453782,FALSE,0.000000,0.453782,0.000000,0.546218,0.453782,0.247864,0.032271,0.390531,0.517032,14.061404,0.000000,0.000568,TRUE,108,0.000000,TRUE,No smoothing used.
French,standard,Pilot,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,standard,Police Officer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,standard,Politician,239,0,0,6,245,239,6,245,0.024490,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,239,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,standard,Programmer,243,0,2,0,245,245,0,245,0.000000,0.991837,0.000000,0.008163,0.991837,FALSE,0.000000,0.991837,0.000000,0.008163,0.991837,0.008097,0.005749,0.980570,1.000000,172.532606,0.000000,0.000568,TRUE,243,0.000000,TRUE,No smoothing used.
French,standard,Receptionist,8,231,0,6,245,239,6,245,0.024490,0.033473,0.966527,0.000000,-0.933054,FALSE,0.000000,0.033473,0.966527,0.000000,-0.933054,0.129409,0.023269,-0.978661,-0.887447,-40.098011,0.000000,0.000568,TRUE,239,0.000000,TRUE,No smoothing used.
French,standard,Secretary,244,0,1,0,245,245,0,245,0.000000,0.995918,0.000000,0.004082,0.995918,FALSE,0.000000,0.995918,0.000000,0.004082,0.995918,0.004065,0.004073,0.987935,1.000000,244.499489,0.000000,0.000568,TRUE,244,0.000000,TRUE,No smoothing used.
French,standard,Social worker,231,5,0,9,245,236,9,245,0.036735,0.978814,0.021186,0.000000,0.957627,FALSE,0.000000,0.978814,0.021186,0.000000,0.957627,0.082950,0.018748,0.920882,0.994372,51.079125,0.000000,0.000568,TRUE,236,0.000000,TRUE,No smoothing used.
French,standard,Soldier,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,standard,Surgeon,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,standard,Teacher,224,20,1,0,245,245,0,245,0.000000,0.914286,0.081633,0.004082,0.832653,FALSE,0.000000,0.914286,0.081633,0.004082,0.832653,0.302607,0.035144,0.763771,0.901535,23.692313,0.000000,0.000568,TRUE,244,0.000000,TRUE,No smoothing used.
