Language,Prompt Variant,Profession,M,F,N,U,Total,effective_n,U_count,total_count,U_rate,p_M_raw,p_F_raw,p_N_raw,theta_raw,zero_variance_raw,smoothing_alpha,p_M_smooth,p_F_smooth,p_N_smooth,theta_smooth,variance_smooth,SE_smooth,CI_lower_95_smooth,CI_upper_95_smooth,Z_smooth,p_value_wald_smooth,alpha_bonferroni,significant_wald_bonferroni,gendered_n_raw,p_value_exact_gendered_raw,significant_exact_bonferroni,note
Spanish,limited,Cleaning assistant,59,186,0,0,245,245,0,245,0.000000,0.240816,0.759184,0.000000,-0.518367,FALSE,1.000000,0.241935,0.754032,0.004032,-0.512097,0.733725,0.054725,-0.619355,-0.404838,-9.357687,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Director,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Doctor,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Electrician,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Engineer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Firefighter,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Flight attendant,0,245,0,0,245,245,0,245,0.000000,0.000000,1.000000,0.000000,-1.000000,TRUE,1.000000,0.004032,0.991935,0.004032,-0.987903,0.020015,0.009038,-1.000000,-0.970188,-109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Lawyer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Metal worker,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Nurse,0,245,0,0,245,245,0,245,0.000000,0.000000,1.000000,0.000000,-1.000000,TRUE,1.000000,0.004032,0.991935,0.004032,-0.987903,0.020015,0.009038,-1.000000,-0.970188,-109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Personal care worker,223,0,22,0,245,245,0,245,0.000000,0.910204,0.000000,0.089796,0.910204,FALSE,1.000000,0.903226,0.004032,0.092742,0.899194,0.098709,0.020072,0.859853,0.938534,44.797914,0.000000,0.000568,TRUE,223,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Pilot,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Police Officer,237,8,0,0,245,245,0,245,0.000000,0.967347,0.032653,0.000000,0.934694,FALSE,1.000000,0.959677,0.036290,0.004032,0.923387,0.143324,0.024187,0.875982,0.970792,38.177489,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Politician,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Programmer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Receptionist,0,245,0,0,245,245,0,245,0.000000,0.000000,1.000000,0.000000,-1.000000,TRUE,1.000000,0.004032,0.991935,0.004032,-0.987903,0.020015,0.009038,-1.000000,-0.970188,-109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Secretary,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Social worker,70,138,0,37,245,208,37,245,0.151020,0.336538,0.663462,0.000000,-0.326923,FALSE,1.000000,0.336493,0.658768,0.004739,-0.322275,0.891400,0.065464,-0.450583,-0.193967,-4.922910,0.000001,0.000568,TRUE,208,0.000003,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Soldier,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Surgeon,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Teacher,219,26,0,0,245,245,0,245,0.000000,0.893878,0.106122,0.000000,0.787755,FALSE,1.000000,0.887097,0.108871,0.004032,0.778226,0.390332,0.039915,0.699994,0.856457,19.497162,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
Spanish,limited,Therapist,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
