STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC33,Business and administration associate professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,619.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC33,Business and administration associate professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,1906.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC34,"Legal, social, cultural and related associate professionals",Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,643.9,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC34,"Legal, social, cultural and related associate professionals",Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,358.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC34,"Legal, social, cultural and related associate professionals",Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,1002.2,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC35,Information and communications technicians,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,34.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC35,Information and communications technicians,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,170.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC35,Information and communications technicians,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,204.9,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC4,Clerical support workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,1624.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC4,Clerical support workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,628.3,,d,definition differs (see metadata),,
