STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC2,Professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,4640.4,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC2,Professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,4497.1,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC2,Professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,9137.5,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC21,Science and engineering professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,454.7,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC21,Science and engineering professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,1253.9,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC21,Science and engineering professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,1708.6,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC22,Health professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,654.8,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC22,Health professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,322.6,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC22,Health professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,977.4,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC23,Teaching professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,1766.4,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC23,Teaching professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,666.5,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC23,Teaching professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,2433.0,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC24,Business and administration professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,772.2,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC24,Business and administration professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,907.3,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC24,Business and administration professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,1679.5,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC25,Information and communications technology professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,179.8,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC25,Information and communications technology professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,840.4,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC25,Information and communications technology professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,1020.2,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC26,"Legal, social and cultural professionals",Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,812.5,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC26,"Legal, social and cultural professionals",Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,506.2,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC26,"Legal, social and cultural professionals",Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,1318.7,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC3,Technicians and associate professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,4271.1,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC3,Technicians and associate professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,3618.6,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC3,Technicians and associate professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,7889.7,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC31,Science and engineering associate professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,346.8,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC31,Science and engineering associate professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,1362.0,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC31,Science and engineering associate professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,1708.8,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC32,Health associate professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,2080.8,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC32,Health associate professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,433.5,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC32,Health associate professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,2514.4,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC33,Business and administration associate professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,1525.1,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC33,Business and administration associate professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,1328.1,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC33,Business and administration associate professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,2853.1,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC34,"Legal, social, cultural and related associate professionals",Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,275.7,,,,,
